id;name;user_id
1362476;MADRID CENTER- AIR CONDITIONING. NEXT TO GRAN VIA;7375454
1362727;Bohemian flat / La latina WiFi;7395294
1375914;Piso 2 habitaciones Pza. España.;4147804
1380233;Central Studio, 3 min to Gran Vía;7420783
1383366;Private room in prime remodeled apt;7489861
1395084;Room for two w/ bathroom/ Bernabéu;7539510
1398273;Habitación privada en el centro y el mejor barrio;7552386
1408400;A bonbon in the heart of Madrid;7595958
1426027;"Hasta 6 personas Apart. ""La Latina"" REF. VT-2488";5633658
1426530;Casa/Apartamento en Madrid;7527702
1427336;CENTER, just walking with balcony¡¡¡;4977367
1430003;Spacious and close to Gran Vía-wifi;2564339
1431541;Centrally located, 120m2;7448200
1434789;Duplex-terrace Plaza de España WIFI;2564339
1443639;Sunny home in Lavapiés terrace yoga mindfulness;7751680
1458472;LA LATINA A VIBRANT NEIGHBOURHOOD, AC, WIFI;5500409
1463257;Calle Luna, apartamento con encanto;6019735
1463482;Well connected Guesthouse in Madrid's green belt;7828783
1470828;Lonely traveler.Optic fiber WiFi100;6944433
1473278;Penthouse Salamanca District 3BR - 2BTH - WIFI;7652350
1482007;In the Exclusive area of Madrid;6895308
1485339;Apartamento Cerca del estadio WANDA METROPOLITANO;7943769
1491263;7mtr2 central studyroom with wide window;6191568
1496117;Cozy Brigt Atico terrace-Wifi-;6075016
1496523;Stylish Apartments in Chueca by Allô Housing;4599639
1500875;NEW Remodel Madrid Sol downtown duplex!! ( M );4839888
1509796;Fully renovated calm ground floor appartment;8064083
1518919;Fabulous loft in the heart of Madrid (PUERTA DE;8107464
1522608;Acogedor Apartamento.CENTRO.CHUECA/JUSTICIA/Colon;8125749
1523675;FULL STUDIO IN MALASAÑA;8130428
1529540;Habitación doble sin ruidos;8158807
1532354;Aparment in latina in the center;7218465
1546734;HABITACIÓN VIAJEROS ATOCHA RENFE;8242728
1547100;Comfy room for 2 non smokers in cosy flat;8231348
1569343;LOFT de diseño Ortega y Gasset;8345477
1579108;Apart Luna Palace;6816328
1586115;COSY ROOM Madrid Rio 10' Centre;8449261
1592439;Big sunny room in Central Madrid;4043145
1593044;BEAUTIFUL APARTMENT IN THE CENTER;1706029
1595592;Aeropuerto-IFEMA-CC.Plenilunio;8508444
1596257;Luxury Boutique Apartment next to Prado Museum;1666293
1600919;Apartamento en Plaza Mayor;8532170
1607436;quiet/luminous flat Madrid center;5790036
1608296;Your place in Madrid.Refugio urbano;1973600
